Month,Rainfall,Lat,Lon
Jan,76.8,-20.46,16.65
Jan,197,-20.42,17.33
Jan,118.7,-20.93,17.78
Jan,107.8,-20.96,17.82
Jan,60,-20.41,18.22
Jan,101.5,-20.42,19.82
Jan,57,-20.25,20.83
Jan,21,-19.69,14.32
Jan,108.13,-19.8,14.54
Jan,7.5,-19.63,14.85
Jan,185.6,-19.64,17.35
Jan,88.5,-19.56,18.11
Jan,88,-19.64,18.6
Jan,20,-19.6,20.5
Jan,0,-19.12,13.62
Jan,0,-19.06,14.35
Jan,98.9,-19.31,14.48
Jan,0,-19.81,15.18
Jan,108.13,-19.42,17.43
Jan,310.8,-19.16,17.85
Jan,206,-19.66,17.86
Jan,111,-19.71,17.97
Jan,203,-19.34,18.06
Jan,182.4,-19.59,18.14
Jan,108.13,-19.31,18.15
Jan,108.13,-19.28,19.2
Jan,83,-19.5,19.63
Jan,90,-18.92,14.11
Jan,56.5,-19.18,15.92
Jan,54.7,-19.33,15.94
Jan,83.6,-19.04,16.47
Jan,108.13,-19.35,17.13
Jan,179,-19.48,17.19
Jan,174.5,-19.45,18.41
Jan,57.5,-19.4,18.61
Jan,40,-19.1,18.79
Jan,0.3,-18.06,13.84
Jan,6,-18.12,14.32
Jan,46.4,-18.17,15.44
Jan,107.9,-18.19,16.38
Jan,114.8,-18.81,16.94
Jan,18,-18.08,16.53
Jan,5,-18.41,16.64
Jan,136.2,-18.49,17.06
Jan,205.1,-18.47,17.34
Jan,286,-18.86,18.13
Jan,59.5,-18.79,18.93
Jan,243,-18.2,19.48
Jan,218.9,-18.37,19.83
Jan,23.5,-17.89,15.07
Jan,76.3,-17.65,15.47
Jan,24.2,-17.86,13.03
Jan,18.6,-18.01,13.82
Jan,0,-18.05,13.84
Jan,26,-17.9,15.56
Jan,24.8,-17.79,15.61
Jan,60,-18.05,15.96
Jan,30,-18.02,15.92
Jan,35,-17.93,15.87
Jan,52,-17.43,16.71
Jan,56.5,-17.91,15.97
Jan,27,-18.12,15.54
Jan,53.8,-18,16.02
Jan,8.5,-17.72,16.14
Jan,47.5,-17.95,16.2
Jan,85.7,-18.24,16.24
Jan,90,-17.79,16.46
Jan,117,-17.54,17.72
Jan,146,-17.96,19.73
Jan,259,-17.9,19.81
Jan,184.5,-18.04,20.7
Jan,219.5,-18.04,21.43
Jan,52.5,-17.59,14.68
Jan,40.1,-17.74,14.88
Jan,120,-17.51,14.99
Jan,115,-17.55,15.53
Jan,108.13,-17.91,15.7
Jan,33,-17.99,15.69
Jan,65,-17.61,15.74
Jan,82.5,-17.79,15.77
Jan,75,-17.82,15.93
Jan,108.13,-17.9,15.97
Jan,72.4,-17.88,15.95
Jan,37.1,-17.79,16.07
Jan,137,-17.67,18.23
Jan,250,-17.68,18.66
Jan,186.2,-17.91,19.77
Jan,193.2,-17.9,20.21
Jan,173.5,-17.98,20.52
Jan,273.5,-17.87,22.9
Jan,271.9,-17.82,23.4
Jan,223.7,-17.97,23.45
Jan,309.7,-17.78,23.82
Jan,405,-17.66,24.14
Jan,291.8,-17.71,24.53
Jan,170.9,-17.98,24.12
Jan,254.1,-17.92,24.71
Jan,108.13,-17.44,13.27
Jan,85,-17.44,14.43
Jan,79.2,-17.46,15.09
Jan,53,-17.45,15.67
Jan,171.6,-17.44,15.33
Jan,33,-17.45,15.89
Jan,20,-17.42,16
Jan,108.13,-17.49,24.28
Jan,318,-17.49,24.32
Jan,0,-28.58,16.45
Jan,4.2,-28.09,18.69
Jan,2.4,-28.02,18.75
Jan,6.5,-28.12,19.84
Jan,4.4,-27.47,19.61
Jan,15,-27.21,18.97
Jan,7.6,-26.93,17.94
Jan,9.6,-26.58,18.12
Jan,4.2,-26.54,18.11
Jan,108.13,-26.8,19.65
Jan,0.2,-26.5,17.15
Jan,108.13,-25.72,16.45
Jan,11.8,-25.72,16.55
Jan,16,-25.88,18.12
Jan,33.7,-25.13,17.78
Jan,15.5,-25.38,19.1
Jan,18.5,-24.85,16.98
Jan,26.5,-24.62,17.97
Jan,41.7,-24.86,18.81
Jan,20.1,-24.14,19.12
Jan,83,-23.92,18.05
Jan,17.6,-23.9,18.28
Jan,32,-23.67,18.39
Jan,60.6,-23.5,19.89
Jan,108.13,-22.79,16.81
Jan,114.6,-23.32,17.09
Jan,69.5,-23.37,18.03
Jan,2.9,-22.98,14.65
Jan,18.3,-22.36,16.13
Jan,97,-22.61,17.08
Jan,119.9,-22.6,17.07
Jan,81.7,-22.57,17.09
Jan,44,-22.78,17.38
Jan,113,-22.83,17.78
Jan,20.7,-21.85,15.21
Jan,30,-21.58,15.45
Jan,110.3,-22.26,16.42
Jan,109,-22.5,17.4
Jan,137.4,-21.82,17.48
Jan,108.13,-22.23,17.54
Jan,156.5,-22.16,17.78
Jan,83,-22.26,18.15
Jan,85.5,-21.6,19.41
Jan,13,-21.23,14.9
Jan,107.9,-21.98,16.92
Jan,86.2,-21.69,17.06
Jan,191.2,-21.92,17.11
Jan,132.6,-21.35,17.14
Jan,153.8,-21.84,17.27
Jan,134.2,-22.99,17.39
Jan,153.2,-21.96,17.65
Jan,8.1,-21.7,17.7
Jan,12.9,-21.12,17.7
Jan,91.5,-21.66,17.82
Jan,78,-21.82,18.23
Jan,0,-20.56,14.66
Jan,0,-20.95,14.83
Jan,132.5,-21.05,15.51
Jan,108.13,-21.03,15.48
Jan,103,-21.42,15.95
Jan,164.3,-21.04,16.22
Jan,187,-21.12,17.22
Jan,61.3,-21.2,17.82
Jan,79.5,-21.28,18.07
Jan,108.13,-21.41,18.16
Jan,146.5,-20.99,18.23
Jan,51.3,-20.61,20.85
Jan,77.1,-20.11,16.15
Jan,210,-20.46,16.65
Jan,262.4,-20.42,17.33
Jan,127.5,-20.93,17.78
Jan,139.1,-20.96,17.82
Jan,128,-20.41,18.22
Jan,23,-19.69,14.32
Jan,98,-19.8,14.54
Jan,100.2,-19.63,14.85
Jan,178.5,-19.64,17.35
Jan,147,-19.56,18.11
Jan,166,-19.64,18.6
Jan,55.5,-19.6,20.5
Jan,38,-19.12,13.62
Jan,0,-19.31,14.48
Jan,35,-19.81,15.18
Jan,132.6,-19.42,17.43
Jan,253.3,-19.16,17.85
Jan,137,-19.66,17.86
Jan,123.4,-19.34,18.06
Jan,108.13,-19.31,18.15
Jan,53,-19.5,19.63
Jan,29.5,-18.92,14.11
Jan,108.9,-19.18,15.92
Jan,162,-19.33,15.94
Jan,108.13,-19.33,15.95
Jan,146.8,-19.04,16.47
Jan,136,-19.48,17.19
Jan,107,-19.45,18.41
Jan,119.5,-19.4,18.61
Jan,90.5,-19.1,18.79
Jan,73.5,-18.06,13.84
Jan,158,-18.12,14.32
Jan,122.4,-18.17,15.44
Jan,109.5,-18.19,16.38
Jan,148.3,-18.81,16.94
Jan,85,-18.08,16.53
Jan,35.5,-18.41,16.64
Jan,168.8,-18.49,17.06
Jan,295.8,-18.47,17.34
Jan,289.5,-18.86,18.13
Jan,164.5,-18.79,18.93
Jan,139.9,-17.89,15.07
Jan,94,-17.65,15.47
Jan,62.2,-18.05,13.84
Jan,205,-17.9,15.56
Jan,78.2,-17.79,15.61
Jan,132.5,-18.05,15.96
Jan,108.13,-18.02,15.92
Jan,49.5,-17.93,15.87
Jan,281,-17.43,16.71
Jan,72,-17.91,15.97
Jan,117,-18.12,15.54
Jan,114.9,-18,16.02
Jan,239,-17.72,16.14
Jan,206,-17.95,16.2
Jan,97.1,-18.24,16.24
Jan,394,-17.79,16.46
Jan,313,-17.54,17.72
Jan,117.5,-17.96,19.73
Jan,162,-17.9,19.81
Jan,171,-18.04,20.7
Jan,127.4,-18.04,21.43
Jan,260.9,-17.59,14.68
Jan,171.5,-17.74,14.88
Jan,323.4,-17.51,14.99
Jan,174.5,-17.55,15.53
Jan,108.13,-17.91,15.7
Jan,161.8,-17.99,15.69
Jan,34,-17.79,15.77
Jan,93.9,-17.82,15.93
Jan,86.4,-17.88,15.95
Jan,178,-17.79,16.07
Jan,211.4,-17.67,18.23
Jan,97,-17.68,18.66
Jan,35,-17.87,19.53
Jan,88.5,-17.91,19.77
Jan,136.8,-17.9,20.21
Jan,185,-17.98,20.52
Jan,446.2,-17.87,22.9
Jan,124.1,-17.82,23.4
Jan,219.7,-17.97,23.45
Jan,195.8,-17.78,23.82
Jan,248,-17.66,24.14
Jan,187,-17.71,24.53
Jan,52.8,-17.98,24.12
Jan,279.5,-17.92,24.71
Jan,0,-17.43,13.28
Jan,227,-17.44,14.43
Jan,191.3,-17.46,15.09
Jan,247.5,-17.45,15.67
Jan,181.2,-17.44,15.33
Jan,346,-17.45,15.89
Jan,165,-17.42,16
Jan,287.8,-17.48,16.33
Jan,144.1,-17.63,24.18
Jan,118,-17.49,24.28
Jan,191.1,-17.49,24.32
feb,4.5,-27.47,19.61
feb,30.8,-27.21,18.97
feb,32.8,-26.54,18.11
feb,1.5,-25.6,16.35
feb,21,-24.23,17.5
feb,17.5,-23.53,17.99
feb,3.6,-23.68,18.27
feb,24.6,-23.67,18.39
feb,34,-23.4,19.02
feb,0,-22.98,14.65
feb,85.28,-22.65,16.45
feb,14.9,-22.57,16.78
feb,85.28,-22.8,16.83
feb,7.4,-22.61,17.08
feb,15.4,-22.6,17.07
feb,7.6,-22.57,17.09
feb,26,-22.78,17.38
feb,27,-22.83,17.78
feb,4.7,-22.26,16.42
feb,85.28,-22.21,16.53
feb,19.2,-22.3,16.93
feb,9,-22.5,17.4
feb,36.5,-22.33,17.62
feb,85.28,-21.98,17.22
feb,24.9,-22.16,17.78
feb,27,-22.26,18.15
feb,6.5,-21.91,16.32
feb,8.5,-21.63,16.48
feb,23.9,-21.98,16.92
feb,40,-21.7,17.7
feb,21,-21.12,17.7
feb,60,-21.66,17.82
feb,76,-21.82,18.23
feb,85.28,-21.14,18.79
feb,13,-21.03,15.48
feb,0,-21.22,15.73
feb,7,-21.13,16.17
feb,5.6,-21.04,16.22
feb,5.5,-21.12,17.22
feb,85.28,-21.2,17.82
feb,68.5,-21.28,18.07
feb,15.5,-20.88,15.85
feb,82,-20.42,17.33
feb,36.5,-20.93,17.78
feb,37.4,-20.96,17.82
feb,0,-19.81,15.18
feb,41.5,-19.66,17.86
feb,85.28,-19.71,17.97
feb,60.5,-19.34,18.06
feb,85.28,-19.48,17.19
feb,61.5,-19.34,18.07
feb,85.28,-19.45,18.41
feb,16.5,-19.4,18.61
feb,54,-19.1,18.79
feb,85.28,-18.19,16.38
feb,85.28,-18.41,16.64
feb,29.5,-18.73,17.58
feb,20.5,-18.86,18.13
feb,44,-18.92,18.3
feb,55,-18.79,18.93
feb,71,-18.2,19.48
feb,85.28,-18.05,13.84
feb,26.5,-17.91,15.35
feb,0,-18.12,15.54
feb,37.5,-17.95,16.2
feb,0,-17.79,16.46
feb,110,-18.04,20.7
feb,100,-18.04,21.43
