Date,Temp_High (°C),Temp_Low (°C),Humidity (%),Atmospheric_Pressure (hPa),Wind_Speed (km/h),Wind_Direction,Precipitation (mm),Cloud_Cover (%),Storm_Occurrence,Storm_Severity,Visibility (km)
2024-07-15,23,15,70,1010,9,W,3.8,29,0,0,7.8
2024-07-16,32,27,55,1019,25,NW,1.0,21,0,0,8.8
2024-07-17,23,15,53,1002,18,S,0.5,2,0,0,9.8
2024-07-18,33,28,87,1023,8,SW,3.9,81,0,0,5.2
2024-07-19,24,19,44,993,27,NE,0.3,74,0,0,6.2
2024-07-20,26,12,80,1017,14,NE,1.3,47,0,0,7.4
2024-07-21,26,16,65,1027,24,NW,6.5,1,0,0,8.6
2024-07-22,32,23,67,1020,19,E,5.0,75,1,1,5.2
2024-07-23,34,26,41,1016,22,N,0.0,53,0,0,7.4
2024-07-24,30,23,89,994,24,SW,2.0,5,0,0,9.4
2024-07-25,32,27,45,1014,17,S,0.2,39,0,0,8.0
2024-07-26,23,13,48,992,33,NW,0.4,92,1,1,5.3
2024-07-27,32,26,72,1022,12,SW,3.6,93,0,0,4.6
2024-07-28,26,14,80,993,13,NW,2.9,1,0,0,9.4
2024-07-29,30,16,64,1014,20,E,1.1,72,1,2,6.2
2024-07-30,22,13,87,1009,23,SE,2.8,1,0,0,9.4
2024-07-31,25,14,52,1023,20,SE,0.6,92,1,1,5.3
2024-08-01,31,17,48,1015,11,E,0.3,96,0,0,5.1
2024-08-02,21,15,52,994,18,S,0.3,73,1,1,6.3
2024-08-03,29,17,70,1024,32,W,0.7,97,1,1,5.0
2024-08-04,32,26,80,1017,18,E,3.3,54,0,0,6.6
2024-08-05,33,25,50,1018,29,NW,1.4,71,0,0,6.2
2024-08-06,28,23,43,998,31,S,0.2,59,0,0,7.0
2024-08-07,24,15,73,1027,8,NE,0.3,96,0,0,5.1
2024-08-08,25,12,77,995,30,E,3.0,5,0,0,9.2
2024-08-09,31,26,85,1008,19,S,1.8,18,0,0,8.7
2024-08-10,31,18,43,1000,7,E,0.1,95,0,0,5.2
2024-08-11,31,19,77,991,9,E,0.6,26,0,0,8.6
2024-08-12,31,21,58,998,5,W,0.5,0,0,0,9.9
2024-08-13,23,12,45,1010,7,W,0.1,32,0,0,8.4
2024-08-14,33,26,73,1013,19,NW,0.4,39,0,0,8.0
2024-08-15,33,28,57,1023,28,S,0.5,31,0,0,8.4
2024-08-16,30,21,52,1011,31,S,1.2,68,0,0,6.4
2024-08-17,29,23,80,992,12,N,6.3,16,0,0,7.9
2024-08-18,26,17,62,1001,33,E,0.2,7,0,0,9.6
2024-08-19,31,19,58,1017,8,SE,2.2,56,0,0,6.8
2024-08-20,28,15,84,1019,6,E,2.5,41,0,0,7.4
2024-08-21,26,20,50,1015,33,E,0.2,97,1,1,5.1
2024-08-22,33,26,40,1010,28,S,0.0,8,0,0,9.6
2024-08-23,20,13,63,1017,28,E,2.2,86,0,0,5.3
2024-08-24,20,15,46,1015,14,SW,0.4,34,0,0,8.2
2024-08-25,28,16,64,1022,8,E,0.3,70,0,0,6.4
2024-08-26,30,20,60,1010,7,SW,1.3,78,1,1,5.8
2024-08-27,33,21,54,1024,6,W,1.6,52,0,0,7.1
2024-08-28,28,15,40,1023,29,SE,0.0,53,0,0,7.4
2024-08-29,23,14,51,1007,21,NW,0.5,83,0,0,5.8
2024-08-30,32,25,46,1000,27,S,0.4,24,0,0,8.7
2024-08-31,28,19,54,1012,25,E,0.7,66,0,0,6.6
2024-09-01,22,13,60,1011,28,SW,1.9,61,0,0,6.6
2024-09-02,26,17,58,1006,24,SW,1.8,54,0,0,6.9
2024-09-03,25,18,68,994,27,W,0.2,45,0,0,7.7
2024-09-04,27,13,64,1000,17,SW,2.7,23,0,0,8.3
2024-09-05,30,22,72,1019,9,NW,2.9,97,1,1,4.6
2024-09-06,28,15,88,1004,34,NE,1.9,45,0,0,7.4
2024-09-07,33,19,71,1016,25,N,4.2,21,0,0,8.1
2024-09-08,24,11,88,1024,34,NW,2.4,10,0,0,9.0
2024-09-09,20,14,74,1022,13,SE,1.1,47,0,0,7.4
2024-09-10,22,10,83,1009,29,NW,1.7,7,0,0,9.3
2024-09-11,29,17,77,1005,33,W,2.6,38,0,0,7.6
2024-09-12,31,20,65,1023,29,W,1.2,34,0,0,8.1
2024-09-13,27,15,50,991,32,NW,0.4,48,0,0,7.5
2024-09-14,34,27,74,1024,26,E,1.1,45,0,0,7.5
2024-09-15,30,20,47,1029,10,NE,0.7,37,0,0,8.0
2024-09-16,25,20,85,1017,9,E,4.4,7,0,0,8.8
2024-09-17,27,16,53,1028,29,E,0.1,53,0,0,7.3
2024-09-18,28,23,49,995,14,NW,0.4,36,0,0,8.1
2024-09-19,23,10,41,998,12,S,0.1,90,0,0,5.5
2024-09-20,20,15,85,1009,11,S,2.8,91,1,2,4.9
2024-09-21,33,28,48,990,11,S,0.9,39,0,0,7.9
2024-09-22,20,9,42,997,10,NE,0.3,33,0,0,8.3
2024-09-23,29,23,60,1012,25,E,2.8,95,0,0,4.7
2024-09-24,23,14,65,992,33,N,3.2,78,1,2,5.5
2024-09-25,31,19,47,993,24,SE,0.4,16,0,0,9.1
2024-09-26,33,21,87,1014,7,S,2.1,32,0,0,8.0
2024-09-27,26,19,41,1027,23,S,0.1,46,0,0,7.7
2024-09-28,21,10,45,1004,26,W,0.2,51,0,0,7.4
2024-09-29,22,15,67,1010,19,E,3.5,79,1,1,5.4
2024-09-30,20,10,68,1024,8,E,2.7,92,1,2,4.9
2024-10-01,24,14,65,1003,32,NE,1.7,8,0,0,9.3
2024-10-02,20,13,64,1025,16,NE,0.5,32,0,0,8.3
2024-10-03,27,16,51,1001,10,S,1.1,59,0,0,6.8
2024-10-04,20,13,44,1006,23,E,0.6,92,1,1,5.3
2024-10-05,30,18,73,1028,8,N,1.2,76,1,2,6.0
2024-10-06,20,6,87,998,19,SE,6.2,20,0,0,7.8
2024-10-07,21,13,76,1024,13,NW,3.3,57,0,0,6.5
2024-10-08,21,16,54,1002,9,E,3.8,84,1,1,5.0
2024-10-09,31,23,83,1004,17,W,2.5,68,0,0,6.1
2024-10-10,25,14,75,1007,27,NW,1.4,9,0,0,9.3
2024-10-11,26,18,54,1022,30,E,1.7,5,0,0,9.4
2024-10-12,24,14,82,995,22,SW,1.5,12,0,0,9.1
2024-10-13,20,7,87,1016,34,NE,3.2,64,0,0,6.2
2024-10-14,20,15,62,1012,34,W,1.8,19,0,0,8.7
2024-10-15,22,13,45,1016,9,SE,0.6,56,0,0,7.1
2024-10-16,33,22,85,1023,29,S,6.5,45,0,0,6.4
2024-10-17,21,16,89,1027,20,W,11.2,7,1,2,7.4
2024-10-18,24,16,83,1003,31,E,0.5,9,0,0,9.5
2024-10-19,31,21,82,1025,23,S,9.2,72,1,1,4.6
2024-10-20,29,23,84,997,18,E,0.8,66,0,0,6.5
2024-10-21,25,11,60,1024,29,S,0.5,10,0,0,9.4
2024-10-22,26,17,62,1008,34,SE,2.3,11,0,0,9.0
2024-10-23,23,9,82,1019,20,NE,3.1,9,0,0,8.9
2024-10-24,26,21,55,1003,31,SE,0.4,24,0,0,8.7
2024-10-25,30,20,86,1009,19,SW,4.6,48,0,0,6.7
2024-10-26,27,17,54,1014,26,N,0.8,48,0,0,7.4
2024-10-27,30,22,64,1029,8,NE,0.3,88,1,2,5.5
2024-10-28,20,8,75,1013,11,SE,5.2,10,0,0,8.5
2024-10-29,34,26,50,1003,20,SW,0.3,61,0,0,6.9
2024-10-30,25,13,54,1015,28,N,0.3,35,0,0,8.2
2024-10-31,27,15,43,1027,26,SW,0.2,38,0,0,8.1
2024-11-01,24,15,60,1012,25,E,0.6,52,0,0,7.3
2024-11-02,23,15,52,1011,26,NW,1.2,89,1,2,5.3
2024-11-03,21,15,61,1008,25,E,1.2,77,1,1,5.9
2024-11-04,25,18,58,992,12,S,1.5,55,0,0,7.0
2024-11-05,25,18,73,1008,21,NE,1.2,0,0,0,9.8
2024-11-06,30,22,53,998,20,E,0.9,55,0,0,7.1
2024-11-07,34,26,43,1017,31,W,0.1,3,0,0,9.8
2024-11-08,20,6,87,1009,27,SW,2.4,29,0,0,8.1
2024-11-09,28,19,85,996,14,NE,2.9,11,0,0,8.9
2024-11-10,31,23,66,1003,14,NW,0.3,34,0,0,8.2
2024-11-11,30,16,68,998,31,W,3.8,76,0,0,5.4
2024-11-12,25,13,86,1008,6,E,0.7,51,0,0,7.3
2024-11-13,32,22,67,1003,34,S,0.7,30,0,0,8.4
2024-11-14,22,12,74,1027,13,SE,1.1,86,0,0,5.5
2024-11-15,23,11,47,1025,21,S,0.7,67,0,0,6.5
2024-11-16,31,20,55,1029,15,W,0.6,51,0,0,7.3
2024-11-17,30,16,81,1006,14,N,7.7,79,0,0,4.5
2024-11-18,23,9,75,1019,26,E,6.9,6,0,0,8.3
2024-11-19,22,10,69,998,29,W,2.9,21,0,0,8.4
2024-11-20,29,23,57,1022,21,N,0.6,92,1,2,5.3
2024-11-21,22,9,41,1014,8,N,0.1,74,0,0,6.3
2024-11-22,34,29,88,1003,20,SW,3.3,55,0,0,6.6
2024-11-23,22,10,52,1000,24,NE,1.6,96,0,0,4.9
2024-11-24,23,15,43,1024,19,SW,0.2,57,0,0,7.1
2024-11-25,26,18,65,1003,29,E,0.8,92,1,1,5.2
2024-11-26,23,14,64,1019,31,N,0.5,63,0,0,6.8
2024-11-27,28,16,69,993,25,NW,4.0,11,0,0,8.6
2024-11-28,20,11,50,993,9,W,1.0,6,0,0,9.5
2024-11-29,27,15,46,1017,10,SE,0.3,54,0,0,7.2
2024-11-30,26,12,70,997,21,N,1.5,61,0,0,6.6
2024-12-01,21,16,83,991,5,W,1.1,89,1,1,5.3
2024-12-02,27,13,49,1011,29,NW,2.1,72,1,2,6.0
2024-12-03,20,7,78,1005,23,SE,2.8,97,0,0,4.6
2024-12-04,30,20,52,1018,8,SW,0.2,76,1,2,6.2
2024-12-05,31,24,70,1019,21,SW,0.5,54,0,0,7.2
2024-12-06,28,16,46,1001,13,NE,0.3,35,0,0,8.2
2024-12-07,28,15,88,1024,28,W,1.4,88,0,0,5.3
2024-12-08,21,11,81,1000,6,N,2.6,23,0,0,8.3
2024-12-09,26,15,81,1010,12,S,3.9,43,0,0,7.1
2024-12-10,34,29,75,1010,19,SW,1.0,16,0,0,9.0
2024-12-11,33,24,59,994,11,SW,0.9,1,0,0,9.8
2024-12-12,29,20,43,1009,31,NE,0.1,12,0,0,9.4
2024-12-13,22,8,46,1026,10,SE,1.2,30,0,0,8.3
2024-12-14,26,18,40,992,5,NE,0.0,92,0,0,5.4
2024-12-15,31,21,83,1022,19,NW,4.2,27,0,0,7.8
2024-12-16,29,18,84,998,27,N,3.9,59,0,0,6.3
2024-12-17,28,15,81,998,30,W,1.2,26,0,0,8.5
2024-12-18,23,18,86,993,11,E,3.4,14,0,0,8.6
2024-12-19,31,21,52,1024,33,E,0.9,94,1,1,5.1
2024-12-20,20,9,61,1006,34,W,1.6,78,0,0,5.8
2024-12-21,21,14,60,1023,29,SE,0.7,32,0,0,8.3
2024-12-22,20,8,61,1013,21,NW,0.8,19,0,0,8.9
2024-12-23,33,24,67,1021,6,SW,3.3,41,0,0,7.3
2024-12-24,31,18,48,990,31,SE,0.4,11,0,0,9.4
2024-12-25,24,15,65,997,13,SW,3.1,72,0,0,5.8
2024-12-26,24,11,48,1012,33,SW,0.3,22,0,0,8.8
2024-12-27,30,16,54,1029,13,E,0.5,71,0,0,6.4
2024-12-28,26,18,49,1001,17,SE,0.3,95,1,1,5.2
2024-12-29,28,15,63,1001,10,NW,1.4,13,0,0,9.1
2024-12-30,28,19,81,1004,10,NE,5.3,90,0,0,4.4
2024-12-31,22,8,47,1008,24,SW,0.3,24,0,0,8.7
2025-01-01,22,9,63,1015,24,S,0.8,76,0,0,6.0
2025-01-02,22,15,55,1018,25,S,1.1,84,1,1,5.6
2025-01-03,23,15,88,1011,7,NE,0.8,30,0,0,8.3
2025-01-04,27,14,65,1029,21,S,3.3,53,0,0,6.7
2025-01-05,25,11,66,1010,21,N,1.7,4,0,0,9.5
2025-01-06,27,17,76,1027,16,SW,2.3,12,0,0,8.9
2025-01-07,20,14,43,1009,20,NE,0.4,27,0,0,8.6
2025-01-08,27,16,89,1018,19,SE,8.4,42,0,0,6.2
2025-01-09,23,17,63,993,17,SW,1.3,88,0,0,5.3
2025-01-10,30,24,58,996,27,NE,0.6,98,1,2,5.0
2025-01-11,20,15,75,1017,5,E,1.6,46,0,0,7.4
2025-01-12,27,20,78,1017,21,NW,1.3,70,0,0,6.2
2025-01-13,23,13,49,993,7,SE,0.2,37,0,0,8.1
2025-01-14,25,13,64,1011,30,NW,0.5,95,1,1,5.2
2025-01-15,27,14,57,1001,19,E,0.8,66,0,0,6.5
2025-01-16,23,12,58,992,8,SW,1.8,61,0,0,6.6
2025-01-17,33,25,75,1011,8,SE,2.4,38,0,0,7.6
2025-01-18,22,12,49,991,22,NW,0.8,36,0,0,8.0
2025-01-19,33,24,72,1013,21,S,2.5,85,0,0,5.2
2025-01-20,28,16,89,1023,23,NW,0.6,7,0,0,9.5
2025-01-21,22,17,44,1016,15,NE,0.2,80,0,0,6.0
2025-01-22,28,23,86,990,24,SW,3.0,51,0,0,6.8
2025-01-23,32,22,88,997,7,N,2.8,90,0,0,4.9
2025-01-24,21,7,74,1012,12,NW,1.3,32,0,0,8.1
2025-01-25,33,27,83,1027,18,SE,3.1,80,1,1,5.4
2025-01-26,21,12,73,995,30,SE,4.6,41,0,0,7.0
2025-01-27,21,16,72,1011,5,W,2.9,75,1,1,5.7
2025-01-28,25,14,60,1014,18,NW,2.5,26,0,0,8.2
2025-01-29,22,17,56,1007,6,SW,2.4,7,0,0,9.2
2025-01-30,32,24,61,1006,33,SW,2.5,22,0,0,8.4
2025-01-31,28,15,87,1001,27,E,6.7,63,0,0,5.5
2025-02-01,23,18,76,995,8,W,0.3,92,1,1,5.3
2025-02-02,20,12,54,1015,28,NW,1.0,19,0,0,8.9
2025-02-03,23,13,74,1016,31,S,1.0,15,0,0,9.0
2025-02-04,20,10,67,997,33,E,2.7,16,0,0,8.7
2025-02-05,33,21,46,1008,23,W,0.7,79,1,1,5.9
